Detected District	Detected State	Latitude	Longitude
Mumbai Suburban	Maharashtra	19.13095765	72.88593095460952
Coimbatore	Tamil Nadu	11.0018115	76.96284250000002
Munger	Bihar	25.22081165	86.51720367235285
Patna	Bihar	25.609323899999996	85.1235252
Bhopal	Madhya Pradesh	23.253092300000002	77.3962718
Bhadradri Kothagudem	Telangana	17.71534525	80.57149761778712
Uttara Kannada	Karnataka	14.72447415	74.64223734496612
Kozhikode	Kerala	11.2446144	75.7759372
Tirunelveli	Tamil Nadu	8.8082342	77.8114843
Jodhpur	Rajasthan	26.2967719	73.0351433
Palwal	Haryana	28.12502575	77.35831300773046
Sangli	Maharashtra	16.8502534	74.5948885
Satara	Maharashtra	17.63612885	74.29827807601781
Kanpur Nagar	Uttar Pradesh	26.4402119	80.26930513416637
Pilibhit	Uttar Pradesh	28.49520765	80.10754080018077
Pratapgarh	Rajasthan	25.75	81.75
Tiruppur	Tamil Nadu	10.78322705	77.52604780096844
Madurai	Tamil Nadu	9.926115300000001	78.1140983
Jaunpur	Uttar Pradesh	25.7955927	82.48834097504384
Imphal West	Manipur	24.75732600000001	93.85847858025149
Dakshina Kannada	Karnataka	12.82133045	75.22767162650372
Ranga Reddy	Telangana	12.9554461	80.25303740000003
Bandipore	Jammu and Kashmir	34.0476564	76.7972892
Jalandhar	Punjab	31.29201065	75.56805772253911
Palakkad	Kerala	10.769198900000001	76.6512469
Chittoor	Andhra Pradesh	13.160104800000001	79.15555061803596
Indore	Madhya Pradesh	22.7205162	75.8681124
Ujjain	Madhya Pradesh	23.174597	75.78514229999998
Gwalior	Madhya Pradesh	26.2037247	78.1573628
Aizawl	Mizoram	23.7414092	92.7209297
Salem	Tamil Nadu	11.661201199999999	78.1602498
Udupi	Karnataka	13.3419169	74.74732320000003
Shivpuri	Madhya Pradesh	25.37524125	77.82811932629714
Chitradurga	Karnataka	14.2266443	76.4005122
Ludhiana	Punjab	30.9090157	75.851601
Pauri Garhwal	Uttarakhand	29.84591115	78.70766746320547
Rajnandgaon	Chhattisgarh	20.9727404	80.69155548263583
Vellore	Tamil Nadu	12.7948109	79.0006410968549
Guntur	Andhra Pradesh	16.2915189	80.4541588
North Goa	Goa	15.60444125	74.00172406307475
Bilaspur	Chhattisgarh	28.868052600000002	79.29838501460121
Durg	Chhattisgarh	21.19903535	81.39795455736571
Baghpat	Uttar Pradesh	28.97240405	77.33315284938224
South Andaman	Andaman and Nicobar Islands	10.7056905	92.48746789633371
Medchal Malkajgiri	Telangana	17.53498345	78.52463873502381
Tiruchirappalli	Tamil Nadu	10.804973	78.6870296
Wayanad	Kerala	11.715219	76.12690294658198
Rajouri	Jammu and Kashmir	33.3772495	74.3132332
Kolhapur	Maharashtra	16.702841199999998	74.2405329
North and Middle Andaman	Andaman and Nicobar Islands	12.61123865	92.83165406414926
Siwan	Bihar	26.1310043	84.39125660595198
Nalanda	Bihar	25.1364914	85.44365464855682
Gondiya	Maharashtra	21.1456285	80.26838674856235
Tumakuru	Karnataka	13.3400771	77.1006208
Kollam	Kerala	8.96699645	76.85828880345855
Davanagere	Karnataka	14.4661266	75.9206361
Nadia	West Bengal	23.48454125	88.55676307470536
Chengalpattu	Tamil Nadu	12.76657415	79.99931906821485
Mahesana	Gujarat	23.666667	72.5
Thanjavur	Tamil Nadu	10.786026699999999	79.1381497
Ajmer	Rajasthan	26.4691	74.639
Virudhunagar	Tamil Nadu	9.5208936	77.87845639618651
Purba Medinipur	West Bengal	22.06382145	87.74573460267038
Meerut	Uttar Pradesh	28.916666999999997	77.68333299999998
Jalgaon	Maharashtra	20.84351185	75.52592658756026
Kurnool	Andhra Pradesh	15.830925099999998	78.0425373
Kalimpong	West Bengal	27.071690000000004	88.4729
Lakhisarai	Bihar	25.1677029	86.05935924304018
Ambala	Haryana	30.3843674	76.770421
Badgam	Jammu and Kashmir	33.909931900000004	74.62914425779809
Baramula	Jammu and Kashmir	34.2086903	74.343498
Porbandar	Gujarat	21.6409	69.611
Gir Somnath	Gujarat	20.9911049	70.68806405046848
Bhagalpur	Bihar	25.28669805	87.13225355111149
Bareilly	Uttar Pradesh	28.457876000000002	79.40557093743058
Hooghly	West Bengal	22.9052114	88.3760639
Nashik	Maharashtra	20.0112475	73.79023640000003
Bhavnagar	Gujarat	21.771883600000002	72.1416449
Karur	Tamil Nadu	10.9301522	78.08485454572889
Shopian	Jammu and Kashmir	33.718807	74.8333311
Ballari	Karnataka	15.2485413	76.8323648
Alwar	Rajasthan	27.63907705	76.6144524902045
Korba	Chhattisgarh	22.51976955	82.62951462416818
Buldana	Maharashtra	20.46134405	76.09621899921488
Dungarpur	Rajasthan	23.666667	73.75
Gopalganj	Bihar	26.4207265	84.37406407415166
Medinipur East	West Bengal	22.4207025	87.3269963
Howrah	West Bengal	22.5882216	88.323139
South 24 Parganas	West Bengal	22.1815262	88.53780483989941
Tiruvannamalai	Tamil Nadu	12.22721295	79.07015554906167
Viluppuram	Tamil Nadu	11.9137874	79.50789297942772
Anantapur	Andhra Pradesh	14.654623499999998	77.55625984224562
Ranchi	Jharkhand	23.3700354	85.3250132
Sirsa	Haryana	29.583333000000003	75.083333
Cachar	Assam	24.75863995000001	92.8816647576822
Hisar	Haryana	29.168807	75.7461103
Namakkal	Tamil Nadu	11.2191319	78.23739801779962
Kanniyakumari	Tamil Nadu	8.0879641	77.54674140000002
Thoothukkudi	Tamil Nadu	8.756745200000001	78.07975266019861
Gaya	Bihar	24.7964355	85.0079563
Bhadrak	Odisha	21.0633288	86.50537309999999
Puducherry	Puducherry	11.934056800000002	79.83064470000002
West Godavari	Andhra Pradesh	17.0	81.166667
Y.S.R.	Andhra Pradesh	11.6707584	78.1136983
Begusarai	Bihar	25.5127194	86.09057109140021
Kamrup Metropolitan	Assam	26.13526375	91.8616706252462
Theni	Tamil Nadu	9.969664300000002	77.47420048524822
Dindigul	Tamil Nadu	10.3303299	78.0673979084697
Sivaganga	Tamil Nadu	9.851231	78.53047154820716
Tirupathur	Tamil Nadu	12.4533064	78.55290857022919
Thiruvarur	Tamil Nadu	10.73618605	79.63318659437627
Panch Mahals	Gujarat	23.0	74.0
Jorhat	Assam	26.7577925	94.2079645
Tonk	Rajasthan	26.12214725	75.66375373932236
Churu	Rajasthan	28.2061443	74.69190729963461
Goalpara	Assam	26.178362300000003	90.6226683
Rohtak	Haryana	28.9010899	76.58019350000001
Bidar	Karnataka	18.083333	77.333333
No foreign travel history	Kerala	10.3528744	76.5120396
Lohit	Arunachal Pradesh	28.035016149999997	96.17135154220676
Ranipet	Tamil Nadu	12.9272641	79.3330076
Ramanathapuram	Tamil Nadu	9.3895523	78.85907071521498
Thiruvallur	Tamil Nadu	13.13014755	79.92435386254967
Morena	Madhya Pradesh	26.166667	77.5
Hazaribagh	Jharkhand	23.9675151	85.43884568595615
Saran	Bihar	25.90835495	84.78074760594323
Bikaner	Rajasthan	28.0159286	73.3171367
Kadapa	Andhra Pradesh	14.4752936	78.8216861
